context,deaths_total,pedestrian_deaths,cyclist_deaths,moto_deaths,truck_occupant_deaths,car_occupant_deaths,bus_occupant_deaths
Truck-involved fatal crashes,9830,1313,382,2817,1877,3111,196
All fatal crashes,60820,14732,3972,22702,2103,14640,464
