cod_ibge,municipio_x,fatal_crashes,deaths,truck_fatal,truck_deaths,municipio_y,pop_2022,deaths_per_100k_11yr,truck_share_pct
3503406,AREALVA,19,22,2,4.0,Arealva,8130,270.6,10.5
3542503,REGINOPOLIS,13,22,4,6.0,Reginópolis,7662,287.1,30.8
3514700,ECHAPORA,17,22,6,9.0,Echaporã,6205,354.6,35.3
3506805,BOCAINA,19,22,3,4.0,Bocaina,11259,195.4,15.8
3516002,FLORIDA PAULISTA,19,22,6,6.0,Flórida Paulista,12958,169.8,31.6
3521507,IRAPUA,17,22,4,4.0,Irapuã,6867,320.4,23.5
3516853,GAVIAO PEIXOTO,17,22,3,4.0,Gavião Peixoto,4702,467.9,17.6
3500758,ALAMBARI,20,22,6,8.0,Alambari,6141,358.2,30.0
3514809,ELDORADO,19,22,3,3.0,Eldorado,13069,168.3,15.8
3542909,RIBEIRAO BONITO,18,22,2,2.0,Ribeirão Bonito,10989,200.2,11.1
3543709,RINCAO,20,22,6,7.0,Rincão,9098,241.8,30.0
3528601,MANDURI,20,22,2,2.0,Manduri,9871,222.9,10.0
3515301,ESTRELA DO NORTE,17,21,3,5.0,Estrela do Norte,2703,776.9,17.6
3504206,AURIFLAMA,20,21,3,3.0,Auriflama,13692,153.4,15.0
3513207,CRISTAIS PAULISTA,20,21,1,1.0,Cristais Paulista,9272,226.5,5.0
3515194,ESPIRITO SANTO DO TURVO,19,21,6,6.0,Espírito Santo do Turvo,4157,505.2,31.6
3542701,RESTINGA,20,21,7,8.0,Restinga,6404,327.9,35.0
3555802,URANIA,21,21,3,3.0,Urânia,8833,237.7,14.3
3519055,HOLAMBRA,21,21,2,2.0,Holambra,15094,139.1,9.5
3534104,ORIENTE,18,21,5,7.0,Oriente,6085,345.1,27.8
3524501,JACI,19,21,7,9.0,Jaci,7613,275.8,36.8
3542008,QUINTANA,16,21,5,5.0,Quintana,7038,298.4,31.2
3526001,JUNQUEIROPOLIS,20,21,7,7.0,Junqueirópolis,20448,102.7,35.0
3556909,VISTA ALEGRE DO ALTO,19,20,4,4.0,Vista Alegre do Alto,8109,246.6,21.1
3534906,PACAEMBU,19,20,5,6.0,Pacaembu,14877,134.4,26.3
3515350,EUCLIDES DA CUNHA PAULISTA,18,20,2,3.0,Euclides da Cunha Paulista,7924,252.4,11.1
3547007,SANTA MARIA DA SERRA,20,20,8,8.0,Santa Maria da Serra,5243,381.5,40.0
3517109,GLICERIO,20,20,6,6.0,Glicério,4138,483.3,30.0
3522901,ITAPUI,19,20,5,5.0,Itapuí,13659,146.4,26.3
3537503,PEREIRAS,15,20,1,3.0,Pereiras,8737,228.9,6.7
3504800,BALSAMO,18,20,3,4.0,Bálsamo,9596,208.4,16.7
3554953,TUIUTI,20,20,4,4.0,Tuiuti,6778,295.1,20.0
3503000,ARAMINA,16,19,11,14.0,Aramina,5420,350.6,68.8
3554706,TORRINHA,16,19,5,7.0,Torrinha,9335,203.5,31.2
3520608,INDIANA,18,19,6,6.0,Indiana,5090,373.3,33.3
3517000,GETULINA,16,19,1,1.0,Getulina,10232,185.7,6.2
3556305,VALPARAISO,18,19,5,6.0,Valparaíso,24241,78.4,27.8
3538501,PIQUETE,17,19,2,2.0,Piquete,12490,152.1,11.8
3525508,JOANOPOLIS,19,19,3,3.0,Joanópolis,12815,148.3,15.8
3521408,IRACEMAPOLIS,19,19,2,2.0,Iracemápolis,21967,86.5,10.5
3504305,AVAI,15,19,3,6.0,Avaí,4483,423.8,20.0
3512100,COLOMBIA,16,19,8,10.0,Colômbia,6629,286.6,50.0
3532702,NIPOA,15,19,2,2.0,Nipoã,4750,400.0,13.3
3549508,SAO JOSE DA BELA VISTA,19,19,4,4.0,São José da Bela Vista,7626,249.1,21.1
3548609,SAO BENTO DO SAPUCAI,18,19,3,3.0,São Bento do Sapucaí,11674,162.8,16.7
3543808,RINOPOLIS,17,19,5,5.0,Rinópolis,9259,205.2,29.4
3527009,LINDOIA,17,19,3,3.0,Lindóia,7014,270.9,17.6
3502309,ANHEMBI,17,18,5,6.0,Anhembi,5674,317.2,29.4
3505104,BARBOSA,15,18,6,9.0,Barbosa,5640,319.1,40.0
3536802,PEDRA BELA,18,18,3,3.0,Pedra Bela,6557,274.5,16.7
3509809,CAMPOS NOVOS PAULISTA,15,18,8,11.0,Campos Novos Paulista,4888,368.2,53.3
3508702,CACONDE,17,18,1,1.0,Caconde,17101,105.3,5.9
3547908,SANTO ANTONIO DA ALEGRIA,16,18,5,6.0,Santo Antônio da Alegria,6775,265.7,31.2
3532306,NATIVIDADE DA SERRA,17,18,0,0.0,Natividade da Serra,6999,257.2,0.0
3548203,SANTO ANTONIO DO PINHAL,18,18,2,2.0,Santo Antônio do Pinhal,7133,252.3,11.1
3532504,NEVES PAULISTA,15,18,2,2.0,Neves Paulista,9699,185.6,13.3
3536406,PAULICEIA,16,18,3,3.0,Paulicéia,7955,226.3,18.8
3516606,GALIA,18,18,5,5.0,Gália,6380,282.1,27.8
