cod_ibge,municipio,pop_2022
3519907,Iepê,7619
3520004,Igaraçu do Tietê,23106
3520103,Igarapava,26212
3520202,Igaratá,10605
3520301,Iguape,29115
3520400,Ilhabela,34934
3520426,Ilha Comprida,13419
3520442,Ilha Solteira,25549
3520509,Indaiatuba,255748
3520608,Indiana,5090
3520707,Indiaporã,4035
3520806,Inúbia Paulista,3615
3520905,Ipaussu,13712
3521002,Iperó,36459
3521101,Ipeúna,6831
3521150,Ipiguá,6761
3521200,Iporanga,4046
3521309,Ipuã,14454
3521408,Iracemápolis,21967
3521507,Irapuã,6867
3521606,Irapuru,7085
3521705,Itaberá,17983
3521804,Itaí,25180
3521903,Itajobi,16989
3522000,Itaju,3618
3522109,Itanhaém,112476
3522158,Itaoca,3422
3522208,Itapecerica da Serra,158522
3522307,Itapetininga,157790
3522406,Itapeva,89728
3522505,Itapevi,232297
3522604,Itapira,72022
3522653,Itapirapuã Paulista,4306
3522703,Itápolis,39493
3522802,Itaporanga,14085
3522901,Itapuí,13659
3523008,Itapura,3979
3523107,Itaquaquecetuba,369275
3523206,Itararé,44438
3523305,Itariri,15528
3523404,Itatiba,121590
3523503,Itatinga,19070
3523602,Itirapina,16148
3523701,Itirapuã,5779
3523800,Itobi,8046
3523909,Itu,168240
3524006,Itupeva,70616
3524105,Ituverava,37571
3524204,Jaborandi,6221
3524303,Jaboticabal,71821
3524402,Jacareí,240275
3524501,Jaci,7613
3524600,Jacupiranga,16097
3524709,Jaguariúna,59347
3524808,Jales,48776
3524907,Jambeiro,6397
3525003,Jandira,118045
3525102,Jardinópolis,45282
3525201,Jarinu,37535
3525300,Jaú,133497
3525409,Jeriquara,3863
3525508,Joanópolis,12815
3525607,João Ramalho,4371
3525706,José Bonifácio,36633
3525805,Júlio Mesquita,4254
3525854,Jumirim,3056
3525904,Jundiaí,443221
3526001,Junqueirópolis,20448
3526100,Juquiá,17154
3526209,Juquitiba,27404
3526308,Lagoinha,5083
3526407,Laranjal Paulista,26261
3526506,Lavínia,9689
3526605,Lavrinhas,7171
3526704,Leme,98161
3526803,Lençóis Paulista,66505
3526902,Limeira,291869
3527009,Lindóia,7014
3527108,Lins,74779
3527207,Lorena,84855
3527256,Lourdes,1950
3527306,Louveira,51847
3527405,Lucélia,20061
3527504,Lucianópolis,2372
3527603,Luís Antônio,12265
3527702,Luiziânia,4701
3527801,Lupércio,3981
